No,Age,Spectacle_prescription ,Astigmatism,Tear_production_rate,recommended_lenses
1,Young,Myope,NO,Reduced,Soft
2,Young,Myope,NO,Normal,Soft
3,Young,Myope,Yes,Reduced,Soft
4,Young,Myope,Yes,Normal,Hard
5,Young,Hypermetrope,NO,Reduced,Soft
6,Young,Hypermetrope,NO,Normal,Soft
7,Young,Hypermetrope,Yes,Reduced,Soft
8,Young,Hypermetrope,Yes,Normal,Hard
9,Middle-aged,Myope,NO,Reduced,Soft
10,Middle-aged,Myope,NO,Normal,Soft
11,Middle-aged,Myope,Yes,Reduced,Soft
12,Middle-aged,Myope,Yes,Normal,Hard
13,Middle-aged,Hypermetrope,NO,Reduced,Soft
14,Middle-aged,Hypermetrope,NO,Normal,Soft
15,Middle-aged,Hypermetrope,Yes,Reduced,Soft
16,Middle-aged,Hypermetrope,Yes,Normal,Hard
17,Elder,Myope,NO,Reduced,Soft
18,Elder,Myope,NO,Normal,Soft
19,Elder,Myope,Yes,Reduced,Soft
20,Elder,Myope,Yes,Normal,Hard
21,Elder,Hypermetrope,NO,Reduced,Soft
22,Elder,Hypermetrope,NO,Normal,Soft
23,Elder,Hypermetrope,Yes,Reduced,Soft
24,Elder,Hypermetrope,Yes,Normal,Hard
